Customer ID,Gender,Age,City,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level
1,Male,27,San Francisco,Gold,1300.63,14,4.4,FALSE,14,Satisfied
2,Male,33,Denver,Bronze,417.72,8,3.3,TRUE,36,Unsatisfied
3,Male,44,Austin,Silver,885.17,14,3.7,TRUE,15,Satisfied
4,Male,32,Las Vegas,Silver,735.6,10,3.9,TRUE,16,Neutral
5,Male,44,Chicago,Gold,1286.18,21,4.7,FALSE,12,Satisfied
6,Female,26,San Diego,Bronze,527.79,12,3.1,TRUE,75,Unsatisfied
7,Female,30,Boston,Bronze,405.51,11,3.4,TRUE,61,Unsatisfied
8,Male,43,Austin,Silver,785.56,13,3.5,TRUE,44,Neutral
9,Male,29,Seattle,Silver,681.79,11,4.5,TRUE,51,Satisfied
10,Female,33,San Francisco,Gold,1412.95,15,4.5,FALSE,19,Satisfied
11,Male,41,Chicago,Silver,911.18,13,3.7,TRUE,60,Satisfied
12,Male,33,Boston,Gold,1448.11,21,4.7,TRUE,32,Satisfied
13,Female,34,San Diego,Gold,1507.88,21,4.7,FALSE,23,Satisfied
14,Female,30,Los Angeles,Silver,609.85,11,3.5,TRUE,35,Neutral
15,Female,30,Las Vegas,Bronze,408.05,9,3,TRUE,62,Neutral
16,Female,44,Miami,Gold,1265.73,15,4.7,TRUE,21,Neutral
17,Male,27,San Francisco,Gold,1623.13,21,4.8,TRUE,21,Satisfied
18,Female,33,Chicago,Bronze,529.32,12,2.8,TRUE,50,Unsatisfied
19,Female,39,Chicago,Gold,1334.19,16,4.4,TRUE,22,Satisfied
20,Male,29,Dallas,Gold,1268.86,21,4.5,FALSE,20,Satisfied
21,Female,27,Dallas,Silver,854.27,15,4.5,TRUE,46,Satisfied
22,Female,31,Philadelphia,Bronze,486.51,11,3.3,TRUE,79,Unsatisfied
23,Female,26,Orlando,Gold,1151.19,18,5,TRUE,24,Unsatisfied
24,Male,44,San Diego,Silver,742.01,13,4.1,FALSE,34,Satisfied
25,Female,33,Chicago,Silver,764.53,13,4,TRUE,22,Satisfied
26,Female,27,Boston,Silver,797.84,11,4.1,FALSE,28,Neutral
27,Male,37,San Diego,Bronze,490.69,9,3.7,FALSE,30,Unsatisfied
